scenario_name,fund_label,fund_weight,fund_stress_return,fund_loss_contribution,stress_loss_share,base_portfolio_value,loss_amount_inr,total_portfolio_stress_return,post_stress_portfolio_value,is_largest_loss_contributor,stress_loss_share_minus_weight
Small-cap Unwind,UTI Nifty 50 Index,0.25,-0.08,-0.02,0.15384615384615385,10000000.0,-200000.0,-0.13,8700000.0,False,-0.09615384615384615
Small-cap Unwind,ICICI Bluechip,0.2,-0.1,-0.020000000000000004,0.15384615384615388,10000000.0,-200000.00000000003,-0.13,8700000.0,False,-0.04615384615384613
Small-cap Unwind,Parag Parikh Flexi Cap,0.25,-0.12,-0.03,0.23076923076923075,10000000.0,-300000.0,-0.13,8700000.0,False,-0.019230769230769246
Small-cap Unwind,HDFC Balanced Advantage,0.15,-0.05,-0.0075,0.05769230769230769,10000000.0,-75000.0,-0.13,8700000.0,False,-0.09230769230769231
Small-cap Unwind,Nippon India Small Cap,0.15,-0.35,-0.0525,0.4038461538461538,10000000.0,-525000.0,-0.13,8700000.0,True,0.25384615384615383
Correlation Breakdown,UTI Nifty 50 Index,0.25,-0.2,-0.05,0.22573363431151244,10000000.0,-500000.0,-0.22149999999999997,7785000.0,False,-0.024266365688487557
Correlation Breakdown,ICICI Bluechip,0.2,-0.21,-0.042,0.18961625282167047,10000000.0,-420000.0,-0.22149999999999997,7785000.0,False,-0.010383747178329544
Correlation Breakdown,Parag Parikh Flexi Cap,0.25,-0.23,-0.0575,0.2595936794582393,10000000.0,-575000.0,-0.22149999999999997,7785000.0,True,0.009593679458239301
Correlation Breakdown,HDFC Balanced Advantage,0.15,-0.1,-0.015,0.06772009029345373,10000000.0,-150000.0,-0.22149999999999997,7785000.0,False,-0.08227990970654626
Correlation Breakdown,Nippon India Small Cap,0.15,-0.38,-0.056999999999999995,0.25733634311512416,10000000.0,-570000.0,-0.22149999999999997,7785000.0,False,0.10733634311512416
Balanced Risk-Off,UTI Nifty 50 Index,0.25,-0.1,-0.025,0.21551724137931036,10000000.0,-250000.0,-0.11599999999999999,8840000.0,False,-0.03448275862068964
Balanced Risk-Off,ICICI Bluechip,0.2,-0.11,-0.022000000000000002,0.18965517241379312,10000000.0,-220000.00000000003,-0.11599999999999999,8840000.0,False,-0.01034482758620689
Balanced Risk-Off,Parag Parikh Flexi Cap,0.25,-0.12,-0.03,0.25862068965517243,10000000.0,-300000.0,-0.11599999999999999,8840000.0,True,0.008620689655172431
Balanced Risk-Off,HDFC Balanced Advantage,0.15,-0.06,-0.009,0.07758620689655173,10000000.0,-90000.0,-0.11599999999999999,8840000.0,False,-0.07241379310344827
Balanced Risk-Off,Nippon India Small Cap,0.15,-0.2,-0.03,0.25862068965517243,10000000.0,-300000.0,-0.11599999999999999,8840000.0,False,0.10862068965517244
