fund_label,data_start_date,data_end_date,observation_count_daily,observation_count_monthly,cagr,annualized_volatility,downside_deviation,sharpe_ratio,sortino_ratio,max_drawdown,recovery_period_days,best_month,worst_month,positive_month_ratio,daily_var_95,daily_cvar_95,monthly_var_95,monthly_cvar_95,risk_free_rate_used,as_of_date
HDFC Balanced Advantage,2021-01-01,2026-07-03,1354,67,0.18037337150788657,0.10518894730720518,0.08583636597737242,1.1443537994190127,1.4023586639212866,-0.10182311770072394,241.0,0.1074356936130593,-0.0840646796388999,0.6818181818181818,-0.010275709456236458,-0.015835047086787134,-0.02852358374711085,-0.046831081633362526,0.06,2026-07-04
ICICI Bluechip,2021-01-01,2026-07-03,1354,67,0.15677581634355797,0.13269288982311314,0.09721851912830527,0.7293217931463051,0.9954463121973394,-0.15393258426966072,386.0,0.0769584546987582,-0.1091423948220063,0.6666666666666666,-0.01310776961484626,-0.01901544116717201,-0.038723629976292376,-0.0657911843982951,0.06,2026-07-04
Nippon India Small Cap,2021-01-01,2026-07-03,1354,67,0.2710299850581539,0.16540352139853196,0.13953793221734606,1.2758494092135266,1.5123485184619971,-0.24208712516126485,636.0,0.1628947304693178,-0.1190900416495199,0.6666666666666666,-0.0183195435234236,-0.02638160800009708,-0.07030462634042248,-0.09426287762501873,0.06,2026-07-04
Parag Parikh Flexi Cap,2021-01-01,2026-07-03,1353,67,0.1777017982290212,0.11643458260329889,0.08482642983137578,1.0108834986770194,1.3875604391579075,-0.17866885529219811,556.0,0.0685609544669503,-0.0682566576477038,0.7121212121212122,-0.011459425196332031,-0.016566307457189875,-0.04023561476889903,-0.05253205881224473,0.06,2026-07-04
UTI Nifty 50 Index,2021-01-01,2026-07-03,1354,67,0.11566485569338258,0.14227875895690126,0.10285714516050538,0.3912379901362821,0.5411860848997831,-0.1656191568910258,396.0,0.0887051015803044,-0.1131979655063114,0.6060606060606061,-0.01409647516469894,-0.02041820356944793,-0.044982705134039576,-0.06990014091425265,0.06,2026-07-04
